/Users/gaurav_raj/ai-projects/s3-karo/components/ui/sonner.tsx: line 14, col 7, Warning - Classname 'toaster' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/ui/toaster.tsx: line 27, col 58, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/wrappers/SyncAuth.tsx: line 7, col 44, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/wrappers/SyncAuth.tsx: line 8, col 40, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/wrappers/SyncAuth.tsx: line 9, col 45, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/auth/actions/user.actions.ts: line 31, col 11, Warning - 'response' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/auth/actions/user.actions.ts: line 45, col 32, Warning - 'params' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/auth/actions/user.actions.ts: line 45, col 40, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/auth/components/AuthForm.tsx: line 28, col 9, Warning - 'router' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/home/components/HowItWorksSection.tsx: line 33, col 29, Warning - 'index' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/components/FileList.tsx: line 13, col 17, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/components/FileList.tsx: line 26, col 3, Warning - 'currentUser' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/components/FileList.tsx: line 27, col 3, Warning - 'types' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/components/FileList.tsx: line 28, col 3, Warning - 'searchText' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/components/FileList.tsx: line 29, col 3, Warning - 'sort' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/hooks/use-files.ts: line 18, col 37, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/hooks/use-files.ts: line 64, col 37, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/hooks/use-upload.ts: line 17, col 22, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/hooks/use-upload.ts: line 38, col 87, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/hooks/use-upload.ts: line 138, col 21, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/hooks/use-upload.ts: line 151, col 65, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/hooks/use-upload.ts: line 155, col 50, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/services/managed-storage.service.ts: line 32, col 25, Warning - 'userId' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/services/managed-storage.service.ts: line 68, col 20, Warning - 'params' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/managed-storage/services/managed-storage.service.ts: line 145, col 29, Warning - 'userId' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/components/ConfigImportHandler.tsx: line 132, col 58, Warning - Classname 'modal-cancel-btn' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/components/NewFolderDialog.tsx: line 76, col 21, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/components/NewFolderDialog.tsx: line 96, col 17, Warning - Classname 'shad-button-primary' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/components/NewFolderDialog.tsx: line 137, col 15, Warning - Classname 'modal-cancel-btn' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/components/S3ConfigForm.tsx: line 79, col 12, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/components/S3ConfigForm.tsx: line 203, col 17, Warning - Classname 'border-red-500' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/components/S3ConfigForm.tsx: line 205, col 31, Warning - Classname 'text-red-500' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/hooks/use-cdn-management.ts: line 71, col 14, Warning - 'e' is defined but never used. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/hooks/use-own-s3.ts: line 15, col 41, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/hooks/use-s3-config-sync.ts: line 19, col 16, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/services/s3-config.service.ts: line 47, col 18, Warning - 'parseError' is defined but never used. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/services/s3-config.service.ts: line 95, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/services/s3-explorer.service.ts: line 374, col 41, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/features/private-s3/services/s3-explorer.service.ts: line 375, col 30, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
